"","R².Trein","R².Val","REQM.Trein","REQM.Val","n.Fold","method","variable"
"K-Fold 416",0.63182102294525,0.603334190186326,0.382598918353101,0.351136806530158,"K-Fold 4","BA",17
"K-Fold 516",0.602801192426904,0.675430028755646,0.381626549221129,0.390382166040952,"K-Fold 5","BA",17
"Mean16",0.612761447792963,0.63466395127007,0.379646226862679,0.382873032448275,"Mean","BA",17
" SD16",0.0210656388332301,0.0482006994372529,0.00511929754173906,0.0327299299337926," SD","BA",17
"K-Fold 117",0.650783009882699,0.708162116937132,0.314399461827273,0.29832663119,"K-Fold 1","BA",18
"K-Fold 217",0.665806500751191,0.617501324230162,0.303183460495328,0.372420337651814,"K-Fold 2","BA",18
"K-Fold 317",0.663007226327003,0.706189854336057,0.30910259206528,0.336522325428911,"K-Fold 3","BA",18
"K-Fold 417",0.656493954072515,0.708890149787242,0.317979119445743,0.269078856282444,"K-Fold 4","BA",18
"K-Fold 517",0.639100388448535,0.670590749672538,0.320661752138815,0.283389594173337,"K-Fold 5","BA",18
"Mean17",0.655038215896388,0.682266838992626,0.313065277194488,0.311947548945301,"Mean","BA",18
" SD17",0.0106501335856801,0.0396313629745107,0.00701757615907031,0.0421298255545839," SD","BA",18
