"","R2Trein","R2Val","REQMTrein","REQMVal","nfold","method","variable"
"1",0.727170763781474,0.09860350511139,1.8153817148277,3.98816284228435,"KFold1","MLP",1
"2",0.606445397615961,0.0719653858442656,2.18993136686116,3.35064079543344,"KFold2","MLP",1
"3",0.795030192265754,0.0597056894338898,1.67115049445014,3.28209073995676,"KFold3","MLP",1
"4",0.574210380845723,0.0370938309778784,2.14125782893441,3.93868807083545,"KFold4","MLP",1
"5",0.591949792806679,0.0602578936737263,2.02852609440111,4.08722248624279,"KFold5","MLP",1
"6",0.658961305463118,0.06552526100823,1.9692494998949,3.72936098695056,"Mean","MLP",1
"7",0.0969516049232949,0.0223919864369388,0.220419701167781,0.381556266609626,"SD","MLP",1
"8",0.535796542722801,0.427845852105209,0.520839824248482,0.601776904231977,"KFold1","MLP",10
"9",0.555771371476983,0.444337364394218,0.521197220075863,0.603383869038935,"KFold2","MLP",10
"10",0.530327014598846,0.476214225821147,0.528468248042476,0.54405972858967,"KFold3","MLP",10
"11",0.61558266637708,0.341634051450502,0.465471688184952,0.629868625090024,"KFold4","MLP",10
"12",0.553716918934552,0.373112679095677,0.507195161133895,0.575041601663002,"KFold5","MLP",10
"13",0.558238902822052,0.412628834573351,0.508634428337134,0.590826145722722,"Mean","MLP",10
"14",0.0339027185446902,0.0545020096888571,0.0253242445951236,0.032550654081741,"SD","MLP",10
"15",0.625665148379533,0.466405623692579,0.394636279706298,0.48374902773708,"KFold1","MLP",11
"16",0.608135683764599,0.472093993072795,0.397644133670189,0.490686963994985,"KFold2","MLP",11
"17",0.634134324359797,0.45187100244199,0.391749700366558,0.496986391738777,"KFold3","MLP",11
"18",0.622579827714515,0.389702421007323,0.407059301592288,0.490716025863124,"KFold4","MLP",11
"19",0.625398281795994,0.478317397012023,0.417298853338643,0.462697241650949,"KFold5","MLP",11
"20",0.623182653202888,0.451678087445342,0.401677653734795,0.484967130196983,"Mean","MLP",11
"21",0.00945761044529694,0.0360013290981207,0.0104570371177496,0.0133009459957044,"SD","MLP",11
"22",0.57508048289781,0.417698587349181,0.396357498451578,0.475877450396309,"KFold1","MLP",12
"23",0.608767386775617,0.318131244379102,0.362971597719434,0.509159038842389,"KFold2","MLP",12
"24",0.526048019121121,0.301626767067603,0.387521368188336,0.564407236129712,"KFold3","MLP",12
"25",0.599861057690567,0.469354180557143,0.385408463545724,0.359766796034343,"KFold4","MLP",12
"26",0.609309829778841,0.378563950308931,0.374002097483023,0.439168581366278,"KFold5","MLP",12
"27",0.583813355252791,0.377074945932392,0.381252205077619,0.469675820553806,"Mean","MLP",12
