"","R².Trein","R².Val","REQM.Trein","REQM.Val","n.Fold","method","variable"
"1",0.125365001291547,0.172556516172573,3.20474130760613,3.02314948698591,"K-Fold 1","MARS C","1"
"2",0.163453367456449,0.165908292412694,3.12778497881574,3.01432521542049,"K-Fold 2","MARS C","1"
"3",0.285395408220983,0.0705550732888962,2.88075294454231,3.09674908286204,"K-Fold 3","MARS C","1"
"4",0.235178480542136,0.11631853684739,2.86976654634543,3.60967205249034,"K-Fold 4","MARS C","1"
"5",0.28011424380475,0.0473407922857882,2.66352392401047,4.1502716444122,"K-Fold 5","MARS C","1"
"6",0.217901300263173,0.114535842201468,2.94931394026402,3.3788334964342,"Mean","MARS C","1"
"7",0.0711546729417883,0.0558081266848263,0.217829855043364,0.496828006709299,"SD","MARS C","1"
"8",0.226887003134938,0.0320978158954144,1.48897373435,1.74019202796093,"K-Fold 1","MARS C","2"
"9",0.445745633831937,0.0325779651193099,1.2650148787559,1.71612990891861,"K-Fold 2","MARS C","2"
"10",0.714125739603539,0.0653714499596767,0.90860064206293,1.71580987858716,"K-Fold 3","MARS C","2"
"11",0.678115867808023,0.0479638472892573,0.974974411709879,1.64449221869368,"K-Fold 4","MARS C","2"
"12",0.453334726833221,0.0695104725684783,1.25429432754389,1.744429477632,"K-Fold 5","MARS C","2"
"13",0.503641794242332,0.0495043101664273,1.17837159888452,1.71221070235848,"Mean","MARS C","2"
"14",0.198255311671525,0.0176342910589891,0.236586025646414,0.0401095728662174,"SD","MARS C","2"
"15",0.427650114101753,0.200306994975992,0.746119056786996,1.04466687224876,"K-Fold 1","MARS C","3"
"16",0.355433363655399,0.228672934968672,0.764959033779336,1.11138921919675,"K-Fold 2","MARS C","3"
"17",0.497668830698518,0.190154420829282,0.709687798382388,0.928880604333708,"K-Fold 3","MARS C","3"
"18",0.34286435299655,0.23121433470029,0.820580665446265,0.8675269305129,"K-Fold 4","MARS C","3"
"19",0.381163302511174,0.300398738761019,0.777332859129575,0.970042307338414,"K-Fold 5","MARS C","3"
"20",0.400955992792679,0.230149484847051,0.763735882704912,0.984501186726107,"Mean","MARS C","3"
"21",0.0630568158382142,0.0430942314228718,0.0407714703123156,0.0957942684795553,"SD","MARS C","3"
"22",0.459933954915261,0.0828137720843414,0.80885816729487,0.838355889543318,"K-Fold 1","MARS C","4"
"23",0.0790484695103677,0.0543270730586733,0.98717063306683,1.15776546573788,"K-Fold 2","MARS C","4"
"24",0.219091459503593,0.0419888432864015,0.908313404189312,1.15258900577576,"K-Fold 3","MARS C","4"
"25",0.433631862130521,0.115328956722795,0.801622415067083,1.00305713180345,"K-Fold 4","MARS C","4"
"26",0.171685740606395,0.0542860138177194,0.941002267940559,1.12918123064293,"K-Fold 5","MARS C","4"
"27",0.272678297333228,0.069748931793986,0.889393377511731,1.05618974470067,"Mean","MARS C","4"
"28",0.166983747145455,0.029562589524029,0.0818099911651934,0.137124819659053,"SD","MARS C","4"
"29",0.715167110004771,0.142264547839347,0.472810121968186,0.829184344864914,"K-Fold 1","MARS C","5"
"30",0.530392494014127,0.130312923764585,0.582529459287523,0.987488049179099,"K-Fold 2","MARS C","5"
"31",0.499709432481399,0.105511358705364,0.584562186946628,1.05378538570288,"K-Fold 3","MARS C","5"
"32",0.467211076756634,0.167709477020081,0.650066777962827,0.805667988748233,"K-Fold 4","MARS C","5"
