"","R².Trein","R².Val","REQM.Trein","REQM.Val","n.Fold","method","variable"
" SD9",0.0123004779183221,0.0673415298548708,0.00961998886621227,0.0362461904882132," SD","RF","10"
"K-Fold 110",0.404659402812797,0.459391246476114,0.520656406600361,0.55440643535714,"K-Fold 1","RF","11"
"K-Fold 210",0.443590276113478,0.504890484911853,0.501089757519137,0.603329567969679,"K-Fold 2","RF","11"
"K-Fold 310",0.407740433468672,0.445370479319279,0.522564824892657,0.529137252481347,"K-Fold 3","RF","11"
"K-Fold 410",0.435452859342811,0.386952061790843,0.519231461635388,0.537622067162946,"K-Fold 4","RF","11"
"K-Fold 510",0.383029049073788,0.568514308241001,0.548548627727352,0.418613170713735,"K-Fold 5","RF","11"
"Mean10",0.414894404162309,0.473023716147818,0.522418215674979,0.528621698736969,"Mean","RF","11"
" SD10",0.0245837270906696,0.0679941533331339,0.0169630659678557,0.0678772182568803," SD","RF","11"
"K-Fold 111",0.383026564858043,0.43309430448787,0.474940722959044,0.462794603769339,"K-Fold 1","RF","12"
"K-Fold 211",0.395185221000526,0.366822266685952,0.467917863935343,0.496664748216223,"K-Fold 2","RF","12"
"K-Fold 311",0.428021522045678,0.285959958741472,0.440978121698666,0.586159691114417,"K-Fold 3","RF","12"
"K-Fold 411",0.378231049468338,0.443824160054387,0.493028236393831,0.370956472594462,"K-Fold 4","RF","12"
"K-Fold 511",0.382752581025789,0.528098706832791,0.481593674993778,0.422926812004618,"K-Fold 5","RF","12"
"Mean11",0.393443387679675,0.411559879360494,0.471691723996132,0.467900465539812,"Mean","RF","12"
" SD11",0.0203279372909253,0.0906405091973241,0.0195026842701415,0.0810238629915667," SD","RF","12"
"K-Fold 112",0.649650761988017,0.736657531320776,1.32252922366839,1.14308121816271,"K-Fold 1","RF","13"
"K-Fold 212",0.661178561924828,0.675453862070786,1.29635350416395,1.23820597941232,"K-Fold 2","RF","13"
"K-Fold 312",0.695708334060536,0.657086602151975,1.21677968978858,1.44870440042955,"K-Fold 3","RF","13"
"K-Fold 412",0.657788445375463,0.66594179509466,1.31783660213114,1.21429025520217,"K-Fold 4","RF","13"
"K-Fold 512",0.659714279474718,0.67911765114072,1.2826999466532,1.34043763937119,"K-Fold 5","RF","13"
"Mean12",0.664808076564712,0.682851488355783,1.28723979328105,1.27694389851559,"Mean","RF","13"
" SD12",0.0178393207958808,0.0312790815155759,0.0425728925682277,0.119246014329335," SD","RF","13"
"K-Fold 113",0.465265485066556,0.520668073738183,0.794106164432588,0.809234832792557,"K-Fold 1","RF","14"
"K-Fold 213",0.485436987253533,0.47487200625479,0.788553581493726,0.821024942984416,"K-Fold 2","RF","14"
"K-Fold 313",0.453936543036625,0.534677515374866,0.814490426845401,0.772785278594393,"K-Fold 3","RF","14"
"K-Fold 413",0.484477039653533,0.411871482692541,0.80619638339472,0.735373303431522,"K-Fold 4","RF","14"
"K-Fold 513",0.473638879040891,0.491093249196936,0.786387104163881,0.849610823440909,"K-Fold 5","RF","14"
"Mean13",0.472550986810228,0.486636465451463,0.797946732066063,0.797605836248759,"Mean","RF","14"
" SD13",0.0133138959926212,0.0479952104610699,0.0120245251325688,0.0443766690866094," SD","RF","14"
"K-Fold 114",0.532472940155118,0.477051130586528,0.567773445292401,0.613522566708887,"K-Fold 1","RF","15"
"K-Fold 214",0.502909637258389,0.502871762313524,0.573154179940304,0.627072254497861,"K-Fold 2","RF","15"
"K-Fold 314",0.487460256999767,0.584422294223288,0.593135095919162,0.545339448952658,"K-Fold 3","RF","15"
"K-Fold 414",0.515528384842869,0.557872649306707,0.585605695148964,0.533166327068616,"K-Fold 4","RF","15"
"K-Fold 514",0.523396783420212,0.472563384682257,0.573404943239289,0.581363889343941,"K-Fold 5","RF","15"
"Mean14",0.512353600535271,0.518956244222461,0.578614671908024,0.580092897314393,"Mean","RF","15"
" SD14",0.0176471383311892,0.0499182752377034,0.0104188238213495,0.0410369448972503," SD","RF","15"
"K-Fold 115",0.609979865035238,0.53004989042616,0.465770020887633,0.508337239433899,"K-Fold 1","RF","16"
"K-Fold 215",0.567080239720078,0.604462346049648,0.485510929496384,0.458505178862188,"K-Fold 2","RF","16"
"K-Fold 315",0.569561076876523,0.618277968426157,0.478043196883082,0.483203746283064,"K-Fold 3","RF","16"
